title,normalized_title,source_url,retrieved_at,revision_id,raw_text_sha256,normalized_doc_path
Artificial intelligence,Artificial intelligence,https://en.wikipedia.org/wiki/Artificial_intelligence,2026-06-15T07:16:18Z,1359412274,b7bf32a1cad542ae40c054010eb526afb420053dc8618aedcff25192a1a4d5e8,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Artificial_intelligence.md
Brain-computer interface,Brain–computer interface,https://en.wikipedia.org/wiki/Brain%E2%80%93computer_interface,2026-06-15T07:16:19Z,1357652468,312fcc55f465e71be0bb4d4f11b9663b9cc55a174de401f1ac21a55bd79ee60f,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Brain%E2%80%93computer_interface.md
Hyperloop,Hyperloop,https://en.wikipedia.org/wiki/Hyperloop,2026-06-15T07:16:20Z,1359285559,66128c6196c8cb54c43bf5e223d9a446cf5b8c9f14f09f1b25da6ea166571780,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Hyperloop.md
Social media,Social media,https://en.wikipedia.org/wiki/Social_media,2026-06-15T07:16:21Z,1357967049,4518908c2475208c363f76099cb47cfcc8530b1fa9d5e0ffb97d65c12a12c040,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Social_media.md
X Corp.,X Corp.,https://en.wikipedia.org/wiki/X_Corp.,2026-06-15T07:16:23Z,1359349560,1c50c8f702b5bb729d87553e3c2cf694194449fa34c83932e527053f03b59472,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/X_Corp..md
Twitter,X (social network),https://en.wikipedia.org/wiki/X_(social_network),2026-06-15T07:16:24Z,1358003168,ac06a47c84e03065765f6dd2543c896716d07a5f64db5882f422d2ff214dd905,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/X_(social_network).md
PayPal,PayPal,https://en.wikipedia.org/wiki/PayPal,2026-06-15T07:16:25Z,1357743556,c48f2f4c52df79f78e9031e99eb501883790ee0fb1066c8453d7ea388ef52282,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/PayPal.md
Zip2,Zip2,https://en.wikipedia.org/wiki/Zip2,2026-06-15T07:16:26Z,1334117916,70cf7360b286b07359c1a353567adde249c80b05c31058c3f312f3975582a102,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Zip2.md
Space tourism,Space tourism,https://en.wikipedia.org/wiki/Space_tourism,2026-06-15T07:16:29Z,1359304024,085d5f260cfb191d396f01910c4c48c60a5abd954de66f451c1f89a3e03ea716,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Space_tourism.md
Satellite constellation,Satellite constellation,https://en.wikipedia.org/wiki/Satellite_constellation,2026-06-15T07:16:30Z,1352879716,cdccec4f85fe0d1bccdffc9bdc898b3025885c4a2093a26fac551d3c5284fb53,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Satellite_constellation.md
Internet service provider,Internet service provider,https://en.wikipedia.org/wiki/Internet_service_provider,2026-06-15T07:16:31Z,1357317919,b4d5712aaa6e7e493a7b60686d163280e44fe4504be90053655c92212df1c43c,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Internet_service_provider.md
Electric battery,Electric battery,https://en.wikipedia.org/wiki/Electric_battery,2026-06-15T07:16:32Z,1354951927,322f2472f68a20e8f9ca6de1ae2ae79cb7ee1df3356cd85384015bc6700e7fd8,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Electric_battery.md
Energy storage,Energy storage,https://en.wikipedia.org/wiki/Energy_storage,2026-06-15T07:16:33Z,1353403944,a68e2c2d5d0fade923a6d374692561ded38e270a94353174b28789266d7c14a1,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Energy_storage.md
