id,total_latency_ms,ttft_ms
obqa-e2a9b279f09c7ffe-paraphrase-33d239eb,372.272458,
obqa-7e59685684ce6d7a-direct-b35c1c78,315.410917,
obqa-5d0711a9b59e8d78-negative-2f61761c,377.753791,
obqa-3823cd141f0d5dab-direct-2aeebc55,466.759083,
obqa-9ac08cae82653aea-direct-78d4ad26,413.365541,
obqa-2cf217ea0a1833f7-direct-54badc14,526.661875,
obqa-71ae3d3576adde79-direct-09d04938,682.494875,
obqa-94388cacb4f03a82-direct-c2d2662c,749.553709,
obqa-26d2ad25e2c7794d-multi_evidence-33582d6b,1150.791000,
obqa-084924e91cdaa33f-direct-42e7e076,606.546750,
obqa-d7eacd3937e480b8-paraphrase-d4acd161,1821.592459,
obqa-b0d3648727c18df1-direct-fc59af40,733.707792,
obqa-41d895f02acaa443-paraphrase-39ea3ba1,1773.189333,
obqa-6f1e061c186e9978-direct-f9484fe2,430.617584,
obqa-190dd784dfc1ad61-direct-9fa4dc50,748.968125,
obqa-d02e2a29a4c5e9e4-direct-28390661,725.675208,
obqa-5d352f5c6f70d12c-direct-f6972cc4,830.274584,
obqa-1690463a38be2187-negative-f14313a6,779.685750,
obqa-8c75be264d4fe7af-multi_evidence-4520d588,6385.165125,
obqa-e176402f44c70d2f-direct-3fcb2417,730.477667,
obqa-d22e1e906ac74737-multi_evidence-7ccd39d9,1284.597750,
obqa-151fd81086caef59-direct-ff51c21f,889.502417,
obqa-826080d84c42d0c5-multi_evidence-a03c11a1,2406.886083,
obqa-375cf44c18ff5bb6-multi_evidence-ec37c759,6218.750875,
obqa-ab941d7fc310d3fc-direct-bd022078,681.427583,
obqa-c20f65defa41759c-direct-2e124913,596.075042,
obqa-2ed9c8723715bc59-multi_evidence-536facd1,2083.392917,
obqa-c2926ee062959d0a-paraphrase-9fa37661,2027.107834,
obqa-73a6e7fb65108485-negative-c45d3ba9,421.574834,
obqa-d03027023965de50-negative-87d14304,602.210458,
obqa-ab941d7fc310d3fc-multi_evidence-5fad61c5,6212.321834,
obqa-f15262dc3be1c30e-multi_evidence-60ae8676,2481.087542,
obqa-c20f65defa41759c-direct-2e124913,567.427792,
obqa-2b614fba81bed15e-negative-d3256330,749.518250,
obqa-826080d84c42d0c5-multi_evidence-ea763fd9,2737.769958,
obqa-eb01b992761f8c3e-negative-1aba0d62,1147.078667,
obqa-968a321ff3dd19ae-negative-59e55ca9,596.084167,
obqa-151fd81086caef59-direct-ff51c21f,1086.018292,
obqa-037486d464937544-direct-555b64b7,1040.780250,
obqa-2c23c5b418e96deb-paraphrase-bc3d598d,800.870708,
obqa-640100d1d41af60f-paraphrase-71179b7a,802.025291,
obqa-71ae3d3576adde79-negative-2e680385,615.022583,
obqa-2c95892489e06676-direct-c5ae8c26,635.576042,
obqa-3d9890ad4bb92669-paraphrase-9af47b3e,402.620958,
